Wed Jun 24 21:15:22 2020 Epoch 3, lr: 0.0000300, train loss: 0.37418, val loss: 0.36338, acc: 39.41675, qwk: 0.66980
Wed Jun 24 21:36:33 2020 Epoch 4, lr: 0.0002965, train loss: 0.41954, val loss: 0.37799, acc: 27.70461, qwk: 0.63628
Wed Jun 24 21:58:23 2020 Epoch 5, lr: 0.0002921, train loss: 0.38644, val loss: 0.38504, acc: 28.64534, qwk: 0.62110
Wed Jun 24 22:19:27 2020 Epoch 6, lr: 0.0002861, train loss: 0.37353, val loss: 0.34952, acc: 41.86265, qwk: 0.72154
Wed Jun 24 22:40:32 2020 Epoch 7, lr: 0.0002785, train loss: 0.35983, val loss: 0.35750, acc: 43.46190, qwk: 0.70303
Wed Jun 24 23:01:31 2020 Epoch 8, lr: 0.0002694, train loss: 0.35198, val loss: 0.36568, acc: 43.08561, qwk: 0.67630
Wed Jun 24 23:22:38 2020 Epoch 9, lr: 0.0002589, train loss: 0.34255, val loss: 0.35908, acc: 44.87300, qwk: 0.69352
Wed Jun 24 23:44:17 2020 Epoch 10, lr: 0.0002471, train loss: 0.33753, val loss: 0.35650, acc: 33.91345, qwk: 0.68652
Thu Jun 25 00:06:26 2020 Epoch 11, lr: 0.0002342, train loss: 0.33416, val loss: 0.33850, acc: 43.36783, qwk: 0.74470
Thu Jun 25 00:27:53 2020 Epoch 12, lr: 0.0002203, train loss: 0.32167, val loss: 0.33613, acc: 46.04892, qwk: 0.72325
Thu Jun 25 00:49:20 2020 Epoch 13, lr: 0.0002055, train loss: 0.31916, val loss: 0.31979, acc: 44.54374, qwk: 0.76976
Thu Jun 25 01:10:43 2020 Epoch 14, lr: 0.0001901, train loss: 0.31180, val loss: 0.34153, acc: 46.42521, qwk: 0.70599
Thu Jun 25 01:31:55 2020 Epoch 15, lr: 0.0001743, train loss: 0.30552, val loss: 0.34561, acc: 50.04704, qwk: 0.76018
Thu Jun 25 01:53:40 2020 Epoch 16, lr: 0.0001581, train loss: 0.31355, val loss: 0.38506, acc: 46.66040, qwk: 0.73919
Thu Jun 25 02:15:03 2020 Epoch 17, lr: 0.0001419, train loss: 0.30383, val loss: 0.34119, acc: 46.66040, qwk: 0.75395
Thu Jun 25 02:36:26 2020 Epoch 18, lr: 0.0001257, train loss: 0.30022, val loss: 0.35987, acc: 48.63594, qwk: 0.74047
Thu Jun 25 02:57:51 2020 Epoch 19, lr: 0.0001099, train loss: 0.28983, val loss: 0.30773, acc: 51.36406, qwk: 0.78556
Thu Jun 25 03:19:51 2020 Epoch 20, lr: 0.0000945, train loss: 0.28249, val loss: 0.32374, acc: 53.80997, qwk: 0.78880
Thu Jun 25 03:41:26 2020 Epoch 21, lr: 0.0000797, train loss: 0.27443, val loss: 0.31091, acc: 50.89370, qwk: 0.77447
Thu Jun 25 04:02:46 2020 Epoch 22, lr: 0.0000658, train loss: 0.26517, val loss: 0.31365, acc: 50.84666, qwk: 0.77808
Thu Jun 25 04:24:05 2020 Epoch 23, lr: 0.0000529, train loss: 0.26033, val loss: 0.31269, acc: 52.77516, qwk: 0.78177
Thu Jun 25 04:45:39 2020 Epoch 24, lr: 0.0000411, train loss: 0.25498, val loss: 0.31247, acc: 52.49294, qwk: 0.79082
Thu Jun 25 05:43:33 2020 Epoch 1, lr: 0.0000300, train loss: 0.42759, val loss: 0.38978, acc: 42.05080, qwk: 0.66720
Thu Jun 25 06:27:36 2020 Epoch 2, lr: 0.0003000, train loss: 0.51819, val loss: 0.43417, acc: 34.28975, qwk: 0.61420
Thu Jun 25 08:02:30 2020 Epoch 1, lr: 0.0000300, train loss: 0.38388, val loss: 0.29944, acc: 53.01035, qwk: 0.80228
Thu Jun 25 09:05:59 2020 Epoch 2, lr: 0.0003000, train loss: 0.44707, val loss: 0.36654, acc: 43.50894, qwk: 0.68534
Thu Jun 25 10:09:26 2020 Epoch 3, lr: 0.0000300, train loss: 0.31694, val loss: 0.29173, acc: 48.44779, qwk: 0.79262
